[2025-07-25 19:31:13] Episode  108 | Reward:   356.80 | Makespan:   1.83 | LoadBalance: 1.039 | Success: 1.00 | Duration: 0.57s
[2025-07-25 19:31:14] Episode  109 | Reward:   394.26 | Makespan:   2.34 | LoadBalance: 1.031 | Success: 1.00 | Duration: 0.62s
[2025-07-25 19:31:14] Episode  110 | Reward:   300.31 | Makespan:   2.12 | LoadBalance: 1.013 | Success: 1.00 | Duration: 0.55s
[2025-07-25 19:31:15] Episode  111 | Reward:   374.88 | Makespan:   2.35 | LoadBalance: 1.041 | Success: 1.00 | Duration: 0.57s
[2025-07-25 19:31:16] Episode  112 | Reward:   371.69 | Makespan:   2.12 | LoadBalance: 1.076 | Success: 1.00 | Duration: 0.57s
[2025-07-25 19:31:16] Episode  113 | Reward:   382.80 | Makespan:   1.73 | LoadBalance: 1.047 | Success: 1.00 | Duration: 0.57s
[2025-07-25 19:31:17] Episode  114 | Reward:   370.38 | Makespan:   2.11 | LoadBalance: 1.065 | Success: 1.00 | Duration: 0.58s
[2025-07-25 19:31:17] Episode  115 | Reward:   328.58 | Makespan:   2.05 | LoadBalance: 1.078 | Success: 1.00 | Duration: 0.66s
[2025-07-25 19:31:18] Episode  116 | Reward:   447.77 | Makespan:   2.47 | LoadBalance: 1.070 | Success: 1.00 | Duration: 0.80s
[2025-07-25 19:31:19] Episode  117 | Reward:   429.56 | Makespan:   1.80 | LoadBalance: 1.079 | Success: 1.00 | Duration: 0.73s
[2025-07-25 19:31:20] Episode  118 | Reward:   347.86 | Makespan:   1.86 | LoadBalance: 1.031 | Success: 1.00 | Duration: 0.68s
[2025-07-25 19:31:20] Episode  119 | Reward:   406.96 | Makespan:   2.01 | LoadBalance: 1.051 | Success: 1.00 | Duration: 0.78s
[2025-07-25 19:31:21] Episode  120 | Reward:   355.25 | Makespan:   2.23 | LoadBalance: 1.028 | Success: 1.00 | Duration: 0.72s
[2025-07-25 19:31:22] Episode  121 | Reward:   397.06 | Makespan:   2.25 | LoadBalance: 1.025 | Success: 1.00 | Duration: 0.72s
[2025-07-25 19:31:23] Episode  122 | Reward:   329.70 | Makespan:   2.11 | LoadBalance: 1.014 | Success: 1.00 | Duration: 0.68s
[2025-07-25 19:31:23] Episode  123 | Reward:   364.64 | Makespan:   1.82 | LoadBalance: 1.066 | Success: 1.00 | Duration: 0.70s
[2025-07-25 19:31:24] Episode  124 | Reward:   340.37 | Makespan:   1.92 | LoadBalance: 0.989 | Success: 1.00 | Duration: 0.74s
[2025-07-25 19:31:25] Episode  125 | Reward:   326.62 | Makespan:   1.86 | LoadBalance: 1.036 | Success: 1.00 | Duration: 0.69s
[2025-07-25 19:31:25] Episode  126 | Reward:   389.69 | Makespan:   2.22 | LoadBalance: 1.059 | Success: 1.00 | Duration: 0.74s
[2025-07-25 19:31:26] Episode  127 | Reward:   348.19 | Makespan:   2.22 | LoadBalance: 1.051 | Success: 1.00 | Duration: 0.72s
[2025-07-25 19:31:27] Episode  128 | Reward:   369.97 | Makespan:   2.23 | LoadBalance: 1.049 | Success: 1.00 | Duration: 0.70s
[2025-07-25 19:31:28] Episode  129 | Reward:   393.24 | Makespan:   1.80 | LoadBalance: 1.038 | Success: 1.00 | Duration: 0.77s
[2025-07-25 19:31:28] Episode  130 | Reward:   349.66 | Makespan:   2.00 | LoadBalance: 1.026 | Success: 1.00 | Duration: 0.67s
[2025-07-25 19:31:29] Episode  131 | Reward:   349.17 | Makespan:   2.10 | LoadBalance: 1.058 | Success: 1.00 | Duration: 0.72s
[2025-07-25 19:31:30] Episode  132 | Reward:   316.62 | Makespan:   1.73 | LoadBalance: 1.046 | Success: 1.00 | Duration: 0.58s
[2025-07-25 19:31:30] Episode  133 | Reward:   355.41 | Makespan:   2.41 | LoadBalance: 1.060 | Success: 1.00 | Duration: 0.69s
[2025-07-25 19:31:31] Episode  134 | Reward:   403.05 | Makespan:   2.17 | LoadBalance: 1.042 | Success: 1.00 | Duration: 0.73s
[2025-07-25 19:31:32] Episode  135 | Reward:   357.79 | Makespan:   2.05 | LoadBalance: 1.048 | Success: 1.00 | Duration: 0.71s
[2025-07-25 19:31:32] Episode  136 | Reward:   327.48 | Makespan:   1.78 | LoadBalance: 1.062 | Success: 1.00 | Duration: 0.65s
[2025-07-25 19:31:33] Episode  137 | Reward:   395.85 | Makespan:   2.23 | LoadBalance: 1.031 | Success: 1.00 | Duration: 0.78s
[2025-07-25 19:31:34] Episode  138 | Reward:   358.33 | Makespan:   1.88 | LoadBalance: 1.064 | Success: 1.00 | Duration: 0.68s
[2025-07-25 19:31:35] Episode  139 | Reward:   383.49 | Makespan:   1.86 | LoadBalance: 1.058 | Success: 1.00 | Duration: 0.71s
[2025-07-25 19:31:35] Episode  140 | Reward:   349.75 | Makespan:   2.09 | LoadBalance: 1.014 | Success: 1.00 | Duration: 0.74s
[2025-07-25 19:31:36] Episode  141 | Reward:   321.28 | Makespan:   2.12 | LoadBalance: 1.045 | Success: 1.00 | Duration: 0.66s
[2025-07-25 19:31:37] Episode  142 | Reward:   368.58 | Makespan:   1.94 | LoadBalance: 1.024 | Success: 1.00 | Duration: 0.69s
[2025-07-25 19:31:37] Episode  143 | Reward:   400.39 | Makespan:   1.82 | LoadBalance: 1.071 | Success: 1.00 | Duration: 0.67s
[2025-07-25 19:31:38] Episode  144 | Reward:   359.39 | Makespan:   2.32 | LoadBalance: 1.073 | Success: 1.00 | Duration: 0.69s
[2025-07-25 19:31:39] Episode  145 | Reward:   338.20 | Makespan:   2.01 | LoadBalance: 1.022 | Success: 1.00 | Duration: 0.68s
[2025-07-25 19:31:39] Episode  146 | Reward:   375.22 | Makespan:   1.87 | LoadBalance: 1.072 | Success: 1.00 | Duration: 0.67s
[2025-07-25 19:31:40] Episode  147 | Reward:   355.69 | Makespan:   2.32 | LoadBalance: 1.071 | Success: 1.00 | Duration: 0.72s
[2025-07-25 19:31:41] Episode  148 | Reward:   363.67 | Makespan:   2.29 | LoadBalance: 1.009 | Success: 1.00 | Duration: 0.68s
[2025-07-25 19:31:41] Episode  149 | Reward:   339.33 | Makespan:   2.41 | LoadBalance: 1.034 | Success: 1.00 | Duration: 0.67s
[2025-07-25 19:31:43] Episode  150 | Reward:   355.35 | Makespan:   2.10 | LoadBalance: 1.023 | Success: 1.00 | Duration: 1.25s
[2025-07-25 19:31:44] Episode  151 | Reward:   365.25 | Makespan:   1.96 | LoadBalance: 1.039 | Success: 1.00 | Duration: 0.68s
[2025-07-25 19:31:45] Episode  152 | Reward:   354.44 | Makespan:   2.17 | LoadBalance: 1.029 | Success: 1.00 | Duration: 0.67s
[2025-07-25 19:31:45] Episode  153 | Reward:   342.31 | Makespan:   1.61 | LoadBalance: 1.009 | Success: 1.00 | Duration: 0.65s
[2025-07-25 19:31:46] Episode  154 | Reward:   363.95 | Makespan:   2.18 | LoadBalance: 1.055 | Success: 1.00 | Duration: 0.74s
[2025-07-25 19:31:47] Episode  155 | Reward:   317.66 | Makespan:   1.75 | LoadBalance: 1.037 | Success: 1.00 | Duration: 0.53s
[2025-07-25 19:31:47] Episode  156 | Reward:   424.17 | Makespan:   2.26 | LoadBalance: 1.075 | Success: 1.00 | Duration: 0.60s
[2025-07-25 19:31:48] Episode  157 | Reward:   365.96 | Makespan:   1.59 | LoadBalance: 1.048 | Success: 1.00 | Duration: 0.57s
[2025-07-25 19:31:48] Episode  158 | Reward:   370.66 | Makespan:   1.73 | LoadBalance: 1.049 | Success: 1.00 | Duration: 0.56s
[2025-07-25 19:31:49] Episode  159 | Reward:   411.58 | Makespan:   1.76 | LoadBalance: 1.055 | Success: 1.00 | Duration: 0.64s
[2025-07-25 19:31:50] Episode  160 | Reward:   362.30 | Makespan:   1.77 | LoadBalance: 1.059 | Success: 1.00 | Duration: 0.56s
[2025-07-25 19:31:50] Episode  161 | Reward:   380.84 | Makespan:   1.95 | LoadBalance: 1.040 | Success: 1.00 | Duration: 0.65s
[2025-07-25 19:31:51] Episode  162 | Reward:   405.66 | Makespan:   2.17 | LoadBalance: 1.053 | Success: 1.00 | Duration: 0.64s
[2025-07-25 19:31:51] Episode  163 | Reward:   320.64 | Makespan:   1.95 | LoadBalance: 1.034 | Success: 1.00 | Duration: 0.56s
[2025-07-25 19:31:52] Episode  164 | Reward:   394.51 | Makespan:   2.16 | LoadBalance: 1.099 | Success: 1.00 | Duration: 0.62s
[2025-07-25 19:31:53] Episode  165 | Reward:   353.42 | Makespan:   1.94 | LoadBalance: 1.055 | Success: 1.00 | Duration: 1.03s
[2025-07-25 19:31:54] Episode  166 | Reward:   386.70 | Makespan:   2.53 | LoadBalance: 1.037 | Success: 1.00 | Duration: 0.69s
[2025-07-25 19:31:54] Episode  167 | Reward:   428.03 | Makespan:   1.93 | LoadBalance: 1.084 | Success: 1.00 | Duration: 0.61s
[2025-07-25 19:31:55] Episode  168 | Reward:   365.70 | Makespan:   2.16 | LoadBalance: 1.072 | Success: 1.00 | Duration: 0.61s
[2025-07-25 19:31:56] Episode  169 | Reward:   362.85 | Makespan:   1.72 | LoadBalance: 1.058 | Success: 1.00 | Duration: 0.56s
[2025-07-25 19:31:56] Episode  170 | Reward:   399.13 | Makespan:   1.93 | LoadBalance: 1.072 | Success: 1.00 | Duration: 0.59s
[2025-07-25 19:31:57] Episode  171 | Reward:   378.00 | Makespan:   1.88 | LoadBalance: 1.066 | Success: 1.00 | Duration: 0.59s
[2025-07-25 19:31:57] Episode  172 | Reward:   328.23 | Makespan:   2.01 | LoadBalance: 1.014 | Success: 1.00 | Duration: 0.67s
[2025-07-25 19:31:58] Episode  173 | Reward:   345.88 | Makespan:   1.57 | LoadBalance: 1.046 | Success: 1.00 | Duration: 0.67s
[2025-07-25 19:31:59] Episode  174 | Reward:   345.48 | Makespan:   2.16 | LoadBalance: 1.063 | Success: 1.00 | Duration: 0.66s
[2025-07-25 19:31:59] Episode  175 | Reward:   314.71 | Makespan:   1.84 | LoadBalance: 1.039 | Success: 1.00 | Duration: 0.64s
[2025-07-25 19:32:00] Episode  176 | Reward:   326.00 | Makespan:   1.86 | LoadBalance: 1.022 | Success: 1.00 | Duration: 0.71s
[2025-07-25 19:32:01] Episode  177 | Reward:   392.75 | Makespan:   2.24 | LoadBalance: 1.056 | Success: 1.00 | Duration: 0.79s
[2025-07-25 19:32:02] Episode  178 | Reward:   368.94 | Makespan:   1.87 | LoadBalance: 1.036 | Success: 1.00 | Duration: 0.67s
[2025-07-25 19:32:02] Episode  179 | Reward:   447.54 | Makespan:   2.59 | LoadBalance: 1.096 | Success: 1.00 | Duration: 0.72s
[2025-07-25 19:32:03] Episode  180 | Reward:   366.44 | Makespan:   1.61 | LoadBalance: 1.055 | Success: 1.00 | Duration: 0.70s
[2025-07-25 19:32:04] Episode  181 | Reward:   361.88 | Makespan:   2.04 | LoadBalance: 1.065 | Success: 1.00 | Duration: 0.74s
[2025-07-25 19:32:04] Episode  182 | Reward:   372.80 | Makespan:   1.68 | LoadBalance: 1.063 | Success: 1.00 | Duration: 0.72s
[2025-07-25 19:32:05] Episode  183 | Reward:   323.03 | Makespan:   1.82 | LoadBalance: 0.992 | Success: 1.00 | Duration: 0.62s
[2025-07-25 19:32:06] Episode  184 | Reward:   375.01 | Makespan:   1.72 | LoadBalance: 1.078 | Success: 1.00 | Duration: 0.64s
[2025-07-25 19:32:07] Episode  185 | Reward:   423.91 | Makespan:   2.20 | LoadBalance: 1.049 | Success: 1.00 | Duration: 0.76s
[2025-07-25 19:32:07] Episode  186 | Reward:   391.01 | Makespan:   2.51 | LoadBalance: 1.066 | Success: 1.00 | Duration: 0.76s
[2025-07-25 19:32:08] Episode  187 | Reward:   382.31 | Makespan:   1.77 | LoadBalance: 1.049 | Success: 1.00 | Duration: 0.74s
[2025-07-25 19:32:09] Episode  188 | Reward:   318.85 | Makespan:   1.70 | LoadBalance: 1.023 | Success: 1.00 | Duration: 0.69s
[2025-07-25 19:32:09] Episode  189 | Reward:   381.96 | Makespan:   1.97 | LoadBalance: 1.064 | Success: 1.00 | Duration: 0.73s
