[2025-07-25 23:30:00] Episode  170 | Reward:   248.14 | Makespan:   1.48 | LoadBalance: 0.944 | Success: 1.00 | Duration: 0.59s
[2025-07-25 23:30:01] Episode  171 | Reward:   292.45 | Makespan:   2.00 | LoadBalance: 0.944 | Success: 1.00 | Duration: 0.57s
[2025-07-25 23:30:01] Episode  172 | Reward:   239.74 | Makespan:   2.03 | LoadBalance: 0.933 | Success: 1.00 | Duration: 0.58s
[2025-07-25 23:30:02] Episode  173 | Reward:   296.70 | Makespan:   2.14 | LoadBalance: 0.962 | Success: 1.00 | Duration: 0.59s
[2025-07-25 23:30:02] Episode  174 | Reward:   344.49 | Makespan:   2.26 | LoadBalance: 0.960 | Success: 1.00 | Duration: 0.64s
[2025-07-25 23:30:03] Episode  175 | Reward:   298.22 | Makespan:   2.10 | LoadBalance: 0.956 | Success: 1.00 | Duration: 0.60s
[2025-07-25 23:30:04] Episode  176 | Reward:   238.71 | Makespan:   2.24 | LoadBalance: 0.977 | Success: 1.00 | Duration: 0.58s
[2025-07-25 23:30:04] Episode  177 | Reward:   278.92 | Makespan:   2.17 | LoadBalance: 0.948 | Success: 1.00 | Duration: 0.62s
[2025-07-25 23:30:05] Episode  178 | Reward:   275.33 | Makespan:   2.12 | LoadBalance: 0.916 | Success: 1.00 | Duration: 0.61s
[2025-07-25 23:30:05] Episode  179 | Reward:   263.47 | Makespan:   2.22 | LoadBalance: 0.931 | Success: 1.00 | Duration: 0.62s
[2025-07-25 23:30:06] Episode  180 | Reward:   378.36 | Makespan:   2.19 | LoadBalance: 0.995 | Success: 1.00 | Duration: 0.62s
[2025-07-25 23:30:07] Episode  181 | Reward:   360.54 | Makespan:   2.36 | LoadBalance: 0.955 | Success: 1.00 | Duration: 0.62s
[2025-07-25 23:30:07] Episode  182 | Reward:   299.86 | Makespan:   1.98 | LoadBalance: 0.986 | Success: 1.00 | Duration: 0.58s
[2025-07-25 23:30:08] Episode  183 | Reward:   293.52 | Makespan:   1.76 | LoadBalance: 0.962 | Success: 1.00 | Duration: 0.59s
[2025-07-25 23:30:09] Episode  184 | Reward:   308.37 | Makespan:   2.25 | LoadBalance: 0.945 | Success: 1.00 | Duration: 0.63s
[2025-07-25 23:30:09] Episode  185 | Reward:   299.45 | Makespan:   2.33 | LoadBalance: 0.906 | Success: 1.00 | Duration: 0.65s
[2025-07-25 23:30:10] Episode  186 | Reward:   304.69 | Makespan:   1.89 | LoadBalance: 0.947 | Success: 1.00 | Duration: 0.57s
[2025-07-25 23:30:10] Episode  187 | Reward:   236.42 | Makespan:   1.63 | LoadBalance: 0.940 | Success: 1.00 | Duration: 0.57s
[2025-07-25 23:30:11] Episode  188 | Reward:   247.86 | Makespan:   1.96 | LoadBalance: 0.957 | Success: 1.00 | Duration: 0.55s
[2025-07-25 23:30:11] Episode  189 | Reward:   260.33 | Makespan:   1.87 | LoadBalance: 0.926 | Success: 1.00 | Duration: 0.58s
